school,relationship_status,have_ever_relationship,life_satisfaction,relationship_satisfaction,self_desirability,num_relationships
New York University,Single and not looking for a relationship,Yes,7,2,5,1
Massachusetts Institute of Technology,Single and not looking for a relationship,No,5,0,2,
Massachusetts Institute of Technology,Single and looking for a relationship,Yes,4,5,5,1
The University of Chicago,Single and not looking for a relationship,No,5,6,5,
Vanderbilt University,Single and looking for a relationship,No,7,4,6,
Washington University in St. Louis,Single and not looking for a relationship,No,7,6,6,
The Claremont Colleges,Single and looking for a relationship,No,7,2,6,
Washington University in St. Louis,"In a relationship, less than 6 months",Yes,2,4,5,1
University of Wisconsin-Madison,Single and looking for a relationship,Yes,6,0,3,4
Dartmouth College,Single and looking for a relationship,Yes,6,3,4,1
University of Wisconsin-Madison,Single and looking for a relationship,Yes,2,3,6,3
Yale University,Single and looking for a relationship,No,,3,7,
Wesleyan University,Single and looking for a relationship,Yes,2,4,6,1
The Claremont Colleges,Single and looking for a relationship,No,3,1,4,
Washington University in St. Louis,Single and not looking for a relationship,No,7,3,7,
The Claremont Colleges,Single and looking for a relationship,No,4,0,6,
"University of California, San Diego",Single and looking for a relationship,No,5,0,7,
Brown University,Single and not looking for a relationship,Yes,5,7,6,3
Wesleyan University,Single and looking for a relationship,Yes,5,3,6,1
Washington University in St. Louis,"In a relationship, longer than 6 months",No,3,6,5,
Carnegie Mellon University,Single and looking for a relationship,Yes,6,2,7,1
Tufts University,Single and looking for a relationship,No,6,0,7,
Brown University,Single and looking for a relationship,No,6,3,4,
Princeton University,Single and not looking for a relationship,No,6,7,,
"University of California, San Diego",Single and looking for a relationship,No,6,0,2,
University of Pennsylvania,Single and looking for a relationship,Yes,4,2,7,3
Massachusetts Institute of Technology,Single and not looking for a relationship,Yes,6,4,5,4
"University of California, San Diego",Single and looking for a relationship,No,6,2,5,
Princeton University,Single and not looking for a relationship,No,5,4,3,
Harvard College,"In a relationship, longer than 6 months",Yes,6,6,6,1
University of Pennsylvania,Single and looking for a relationship,No,3,0,2,
Washington University in St. Louis,Single and looking for a relationship,No,5,3,2,
Massachusetts Institute of Technology,Single and looking for a relationship,No,7,2,6,
Brown University,Single and looking for a relationship,Yes,6,4,7,1
The University of Chicago,Single and not looking for a relationship,No,4,3,2,
Brown University,Single and not looking for a relationship,Yes,4,1,7,1
Carnegie Mellon University,Single and looking for a relationship,No,6,2,5,
Boston College,Single and looking for a relationship,Yes,7,5,6,2
University of Wisconsin-Madison,"In a relationship, less than 6 months",Yes,5,6,5,2
University of Wisconsin-Madison,Single and looking for a relationship,No,6,3,3,
Boston College,Single and looking for a relationship,Yes,3,3,6,1
Boston College,Single and not looking for a relationship,Yes,6,4,5,2
Dartmouth College,"In a relationship, less than 6 months",Yes,5,7,3,1
Boston College,Single and looking for a relationship,Yes,5,2,6,1
Columbia University,Single and looking for a relationship,No,5,2,5,
Boston College,Single and looking for a relationship,No,5,3,6,
Wesleyan University,"In a relationship, less than 6 months",No,4,,5,
The University of Chicago,Single and looking for a relationship,Yes,6,3,7,1
The Claremont Colleges,"In a relationship, longer than 6 months",Yes,6,7,6,4
Massachusetts Institute of Technology,Single and looking for a relationship,No,8,4,6,
The University of Chicago,Single and not looking for a relationship,No,4,2,2,
Williams College,Single and looking for a relationship,No,6,4,4,
University of Wisconsin-Madison,Single and not looking for a relationship,No,3,1,4,
Washington University in St. Louis,"In a relationship, longer than 6 months",Yes,8,8,6,4
Brown University,"In a relationship, less than 6 months",Yes,3,6,4,1
Dartmouth College,Single and looking for a relationship,No,4,5,5,
Williams College,Single and looking for a relationship,Yes,4,1,6,3
The University of Chicago,Single and not looking for a relationship,Yes,2,3,3,2
Massachusetts Institute of Technology,Single and not looking for a relationship,No,3,5,5,
University of Wisconsin-Madison,Single and not looking for a relationship,Yes,5,5,6,1
"University of California, San Diego",Single and looking for a relationship,No,8,3,4,
Brown University,Single and looking for a relationship,No,5,1,5,
Washington University in St. Louis,Single and looking for a relationship,No,2,2,7,
Boston College,Single and looking for a relationship,No,7,1,5,
Wesleyan University,"In a relationship, less than 6 months",Yes,5,7,6,3
Boston College,Single and looking for a relationship,No,5,6,6,
University of Wisconsin-Madison,Single and not looking for a relationship,No,6,1,2,
The University of Chicago,Single and looking for a relationship,Yes,6,3,6,2
Wesleyan University,Single and looking for a relationship,No,7,0,3,
University of Wisconsin-Madison,Single and not looking for a relationship,No,5,2,3,
McGill University,Single and looking for a relationship,No,5,0,5,
Harvard College,Single and not looking for a relationship,Yes,1,1,7,1
Tufts University,Single and looking for a relationship,Yes,7,2,7,1
The University of Chicago,"In a relationship, less than 6 months",Yes,2,6,4,2
Harvard College,Single and looking for a relationship,No,5,2,5,
Dartmouth College,"In a relationship, less than 6 months",No,6,6,5,
Harvard College,"In a relationship, less than 6 months",Yes,5,7,5,2
The University of Chicago,Single and looking for a relationship,Yes,3,1,3,2
The University of Chicago,Single and not looking for a relationship,No,6,4,6,
Tufts University,"In a relationship, less than 6 months",Yes,6,6,8,1.5
"University of California, San Diego",Single and looking for a relationship,No,6,1,2,
Yale University,Single and looking for a relationship,No,7,5,8,
University of Washington,Single and not looking for a relationship,No,6,5,,
New York University,Single and looking for a relationship,No,7,4,6,
University of Wisconsin-Madison,Single and looking for a relationship,Yes,2,0,5,1
McGill University,"In a relationship, longer than 6 months",Yes,6,7,6,1
Boston College,Single and looking for a relationship,No,5,2,5,
Massachusetts Institute of Technology,Single and looking for a relationship,Yes,7,5,7,
University of Washington,Single and looking for a relationship,No,5,2,4,
Vanderbilt University,Single and looking for a relationship,No,5,4,6,
Yale University,Single and looking for a relationship,No,6,3,6,
University of Washington,Single and looking for a relationship,No,5,3,6,
Massachusetts Institute of Technology,Single and looking for a relationship,No,6,,5,
